ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,20,2,14872,Advance,
27007,2,0,2136,Ararat,
27009,3,0,2937,Belews Creek,
27011,14,0,5411,Boonville,
27012,20,0,28954,Clemmons,
27013,10,0,6495,Cleveland,
27014,0,0,957,Cooleemee,
27016,0,0,1682,Danbury,
27017,15,0,9499,Dobson,
27018,24,1,8221,East Bend,
27019,2,0,4234,Germanton,
27020,24,0,6104,Hamptonville,
27021,23,0,17979,King,
27022,0,0,1512,Lawsonville,
27023,24,1,12775,Lewisville,
27024,4,0,2683,Lowgap,
27025,7,0,11117,Madison,
27027,0,0,4017,Mayodan,
27028,42,0,28039,Mocksville,
27030,72,1,37641,Mount Airy,
27040,8,0,13150,Pfafftown,
27041,2,0,8020,Pilot Mountain,
27042,3,0,720,Pine Hall,
27043,8,0,6442,Pinnacle,
27045,21,0,9583,Rural Hall,
27046,0,0,1953,Sandy Ridge,
27047,2,0,1279,Siloam,
27048,6,0,8902,Stoneville,
27050,4,0,4084,Tobaccoville,
27051,12,0,8287,Walkertown,
27052,11,0,10061,Walnut Cove,
27053,1,0,3156,Westfield,
27054,1,0,2608,Woodleaf,
27055,59,0,14521,Yadkinville,
27101,25,0,24321,Winston Salem,
27103,87,1,36071,Winston Salem,
27104,85,1,29383,Winston Salem,
27105,141,0,40186,Winston Salem,
27106,113,1,51378,Winston Salem,
27107,180,2,52432,Winston Salem,
27127,102,1,38510,Winston Salem,
27157,,,5,Winston Salem,Population <500 and Cases <5
27203,192,3,21876,Asheboro,
27205,113,2,34549,Asheboro,
27207,18,0,3806,Bear Creek,
27208,8,0,1691,Bennett,
27209,26,2,4151,Biscoe,
27212,15,0,1600,Blanch,
27214,11,1,11747,Browns Summit,
27215,37,3,44892,Burlington,
27217,124,9,39111,Burlington,
27229,12,0,4014,Candor,
27231,0,0,2048,Cedar Grove,
27233,2,0,3647,Climax,
27235,0,0,4575,Colfax,
27239,14,0,9629,Denton,
27242,1,0,2668,Eagle Springs,
27243,7,0,4665,Efland,
27244,4,0,16259,Elon,
27248,14,0,4835,Franklinville,
27249,7,0,13355,Gibsonville,
27252,6,1,2264,Goldston,
27253,41,0,31464,Graham,
27258,9,0,7740,Haw River,
27260,128,5,25696,High Point,
27262,66,1,24764,High Point,
27263,41,0,22320,High Point,
27265,119,6,50038,High Point,
27268,1,0,1695,High Point,
27278,41,0,27181,Hillsborough,
27281,4,0,3710,Jackson Springs,
27282,11,0,16597,Jamestown,
27283,6,0,2982,Julian,
27284,69,1,56201,Kernersville,
27288,24,0,23585,Eden,
27291,1,0,1538,Leasburg,
27292,47,2,41465,Lexington,
27295,94,8,39191,Lexington,
27298,35,0,10440,Liberty,
27299,10,0,5254,Linwood,
27301,9,2,10019,Mc Leansville,
27302,32,0,32302,Mebane,
27305,17,1,1585,Milton,
27306,15,0,5945,Mount Gilead,
27310,7,1,8562,Oak Ridge,
27311,0,0,3220,Pelham,
27312,92,17,22205,Pittsboro,
27313,54,8,7288,Pleasant Garden,
27314,0,0,1138,Prospect Hill,
27315,1,0,2140,Providence,
27316,48,1,7156,Ramseur,
27317,43,1,17851,Randleman,
27320,14,2,38894,Reidsville,
27325,7,0,7676,Robbins,
27326,5,0,3692,Ruffin,
27330,256,3,39529,Sanford,
27332,118,0,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
27341,12,0,5820,Seagrove,
27343,1,0,1840,Semora,
27344,393,3,19290,Siler City,
27349,5,0,5850,Snow Camp,
27350,3,0,7508,Sophia,
27355,21,0,3196,Staley,
27356,9,1,3513,Star,
27357,14,1,8325,Stokesdale,
27358,12,1,15960,Summerfield,
27360,95,0,48331,Thomasville,
27370,22,0,14622,Trinity,
27371,13,0,7778,Troy,
27376,7,0,9884,West End,
27377,15,0,9597,Whitsett,
27379,6,0,6057,Yanceyville,
27401,38,2,20221,Greensboro,
27403,17,1,21278,Greensboro,
27405,142,4,52510,Greensboro,
27406,68,8,60755,Greensboro,
27407,119,5,49837,Greensboro,
27408,12,0,17406,Greensboro,
27409,16,1,17953,Greensboro,
27410,26,1,56968,Greensboro,
27411,0,0,847,Greensboro,
27412,0,0,1886,Greensboro,
27455,24,2,29197,Greensboro,
27498,,,13,Greensboro,Population <500 and Cases <5
27501,26,1,21338,Angier,
27502,52,0,43747,Apex,
27503,11,0,7222,Bahama,
27504,34,1,16320,Benson,
27505,29,0,7308,Broadway,
27507,4,0,2053,Bullock,
27508,3,0,2340,Bunn,
27509,134,9,6935,Butner,
27510,23,1,14543,Carrboro,
27511,29,2,34041,Cary,
27513,40,1,49003,Cary,
27514,74,16,32847,Chapel Hill,
27516,46,3,44117,Chapel Hill,
27517,47,0,28831,Chapel Hill,
27518,18,0,22765,Cary,
27519,37,1,59960,Cary,
27520,99,14,43958,Clayton,
27521,6,0,7149,Coats,
27522,27,0,13652,Creedmoor,
27523,7,0,12782,Apex,
27524,11,0,13532,Four Oaks,
27525,18,0,15534,Franklinton,
27526,31,0,54027,Fuquay Varina,
27527,18,0,30234,Clayton,
27529,52,0,53854,Garner,
27530,566,5,40212,Goldsboro,
27531,1,0,666,Goldsboro,
27534,105,1,31819,Goldsboro,
27536,140,15,16459,Henderson,
27537,74,3,25321,Henderson,
27539,22,1,26567,Apex,
27540,23,0,39075,Holly Springs,
27541,2,0,4044,Hurdle Mills,
27542,7,1,10043,Kenly,
27544,5,0,4291,Kittrell,
27545,94,13,30327,Knightdale,
27546,99,16,22436,Lillington,
27549,90,20,25224,Louisburg,
27551,2,0,2205,Macon,
27553,5,0,2030,Manson,
27556,,,298,Middleburg,Population <500 and Cases <5
27557,7,0,9214,Middlesex,
27559,0,0,2874,Moncure,
27560,23,0,33691,Morrisville,
27562,1,0,2791,New Hill,
27563,20,0,5312,Norlina,
27565,77,0,26057,Oxford,
27569,11,0,8984,Princeton,
27571,4,0,7385,Rolesville,
27572,3,0,7316,Rougemont,
27573,13,1,11561,Roxboro,
27574,10,0,15232,Roxboro,
27576,27,1,20197,Selma,
27577,45,0,25214,Smithfield,
27581,6,0,3956,Stem,
27583,11,0,7012,Timberlake,
27587,79,3,74087,Wake Forest,
27589,16,0,8312,Warrenton,
