ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1337,7,14872,Advance,
27007,222,0,2136,Ararat,
27009,305,2,2937,Belews Creek,
27011,549,7,5411,Boonville,
27012,2860,51,28954,Clemmons,
27013,648,8,6495,Cleveland,
27014,88,2,957,Cooleemee,
27016,163,2,1682,Danbury,
27017,1102,14,9499,Dobson,
27018,713,6,8221,East Bend,
27019,345,1,4234,Germanton,
27020,706,7,6104,Hamptonville,
27021,1814,47,17979,King,
27022,99,2,1512,Lawsonville,
27023,1034,4,12775,Lewisville,
27024,285,3,2683,Lowgap,
27025,1025,29,11117,Madison,
27027,364,18,4017,Mayodan,
27028,2789,30,28039,Mocksville,
27030,4442,104,37641,Mount Airy,
27040,1033,10,13150,Pfafftown,
27041,739,8,8020,Pilot Mountain,
27042,70,2,720,Pine Hall,
27043,533,6,6442,Pinnacle,
27045,1033,9,9583,Rural Hall,
27046,154,1,1953,Sandy Ridge,
27047,120,2,1279,Siloam,
27048,748,9,8902,Stoneville,
27050,330,4,4084,Tobaccoville,
27051,726,6,8287,Walkertown,
27052,997,23,10061,Walnut Cove,
27053,202,2,3156,Westfield,
27054,306,5,2608,Woodleaf,
27055,1769,29,14521,Yadkinville,
27101,1849,38,24321,Winston Salem,
27103,3107,42,36071,Winston Salem,
27104,2569,39,29383,Winston Salem,
27105,4118,43,40186,Winston Salem,
27106,4469,58,51378,Winston Salem,
27107,5097,48,52432,Winston Salem,
27127,4012,27,38510,Winston Salem,
27157,43,0,5,Winston Salem,
27203,2829,53,21876,Asheboro,
27205,3831,48,34549,Asheboro,
27207,293,2,3806,Bear Creek,
27208,150,2,1691,Bennett,
27209,714,41,4151,Biscoe,
27212,394,1,1600,Blanch,
27214,1092,12,11747,Browns Summit,
27215,4729,76,44892,Burlington,
27217,5304,102,39111,Burlington,
27229,566,18,4014,Candor,
27231,121,0,2048,Cedar Grove,
27233,302,3,3647,Climax,
27235,440,12,4575,Colfax,
27239,908,13,9629,Denton,
27242,188,3,2668,Eagle Springs,
27243,302,2,4665,Efland,
27244,2218,27,16259,Elon,
27248,392,5,4835,Franklinville,
27249,1162,10,13355,Gibsonville,
27252,112,2,2264,Goldston,
27253,3652,49,31464,Graham,
27258,719,8,7740,Haw River,
27260,2265,41,25696,High Point,
27262,2226,63,24764,High Point,
27263,2186,35,22320,High Point,
27265,4537,56,50038,High Point,
27268,316,0,1695,High Point,
27278,1751,19,27181,Hillsborough,
27281,261,1,3710,Jackson Springs,
27282,1474,26,16597,Jamestown,
27283,261,5,2982,Julian,
27284,5335,75,56201,Kernersville,
27288,2104,53,23585,Eden,
27291,138,0,1538,Leasburg,
27292,3885,36,41465,Lexington,
27295,4083,55,39191,Lexington,
27298,865,10,10440,Liberty,
27299,585,5,5254,Linwood,
27301,1082,18,10019,Mc Leansville,
27302,2760,21,32302,Mebane,
27305,154,1,1585,Milton,
27306,726,18,5945,Mount Gilead,
27310,665,4,8562,Oak Ridge,
27311,264,1,3220,Pelham,
27312,1017,26,22205,Pittsboro,
27313,541,21,7288,Pleasant Garden,
27314,72,1,1138,Prospect Hill,
27315,122,0,2140,Providence,
27316,738,15,7156,Ramseur,
27317,1880,24,17851,Randleman,
27320,3312,49,38894,Reidsville,
27325,752,7,7676,Robbins,
27326,330,2,3692,Ruffin,
27330,4054,55,39529,Sanford,
27332,2953,28,33549,Sanford,
27341,502,3,5820,Seagrove,
27343,140,0,1840,Semora,
27344,1981,36,19290,Siler City,
27349,541,5,5850,Snow Camp,
27350,649,8,7508,Sophia,
27355,237,2,3196,Staley,
27356,338,7,3513,Star,
27357,917,18,8325,Stokesdale,
27358,1090,8,15960,Summerfield,
27360,5131,65,48331,Thomasville,
27370,1626,32,14622,Trinity,
27371,893,12,7778,Troy,
27376,833,19,9884,West End,
27377,957,8,9597,Whitsett,
27379,586,25,6057,Yanceyville,
27401,1960,26,20221,Greensboro,
27403,1562,18,21278,Greensboro,
27405,4920,52,52510,Greensboro,
27406,5550,111,60755,Greensboro,
27407,4564,69,49837,Greensboro,
27408,1289,8,17406,Greensboro,
27409,1543,17,17953,Greensboro,
27410,4165,50,56968,Greensboro,
27455,2536,67,29197,Greensboro,
