ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1184,6,14872,Advance,
27007,206,0,2136,Ararat,
27009,254,1,2937,Belews Creek,
27011,515,7,5411,Boonville,
27012,2605,48,28954,Clemmons,
27013,572,6,6495,Cleveland,
27014,67,1,957,Cooleemee,
27016,139,2,1682,Danbury,
27017,1016,9,9499,Dobson,
27018,663,5,8221,East Bend,
27019,300,1,4234,Germanton,
27020,633,5,6104,Hamptonville,
27021,1615,44,17979,King,
27022,82,2,1512,Lawsonville,
27023,910,3,12775,Lewisville,
27024,264,3,2683,Lowgap,
27025,943,7,11117,Madison,
27027,339,9,4017,Mayodan,
27028,2451,27,28039,Mocksville,
27030,3935,85,37641,Mount Airy,
27040,945,7,13150,Pfafftown,
27041,660,6,8020,Pilot Mountain,
27042,64,2,720,Pine Hall,
27043,481,5,6442,Pinnacle,
27045,930,7,9583,Rural Hall,
27046,144,1,1953,Sandy Ridge,
27047,103,0,1279,Siloam,
27048,639,6,8902,Stoneville,
27050,280,3,4084,Tobaccoville,
27051,638,5,8287,Walkertown,
27052,851,21,10061,Walnut Cove,
27053,177,1,3156,Westfield,
27054,268,4,2608,Woodleaf,
27055,1591,24,14521,Yadkinville,
27101,1668,32,24321,Winston Salem,
27103,2787,38,36071,Winston Salem,
27104,2361,31,29383,Winston Salem,
27105,3653,33,40186,Winston Salem,
27106,3989,49,51378,Winston Salem,
27107,4457,40,52432,Winston Salem,
27127,3577,24,38510,Winston Salem,
27157,42,0,5,Winston Salem,
27203,2659,48,21876,Asheboro,
27205,3506,44,34549,Asheboro,
27207,264,2,3806,Bear Creek,
27208,142,2,1691,Bennett,
27209,692,40,4151,Biscoe,
27212,372,1,1600,Blanch,
27214,924,6,11747,Browns Summit,
27215,4098,65,44892,Burlington,
27217,4785,90,39111,Burlington,
27229,527,17,4014,Candor,
27231,113,0,2048,Cedar Grove,
27233,266,2,3647,Climax,
27235,386,7,4575,Colfax,
27239,781,12,9629,Denton,
27242,173,4,2668,Eagle Springs,
27243,262,3,4665,Efland,
27244,1757,18,16259,Elon,
27248,365,5,4835,Franklinville,
27249,1015,7,13355,Gibsonville,
27252,106,2,2264,Goldston,
27253,3230,42,31464,Graham,
27258,622,8,7740,Haw River,
27260,1972,38,25696,High Point,
27262,1879,52,24764,High Point,
27263,1956,33,22320,High Point,
27265,3934,49,50038,High Point,
27268,278,0,1695,High Point,
27278,1583,18,27181,Hillsborough,
27281,247,0,3710,Jackson Springs,
27282,1295,22,16597,Jamestown,
27283,220,2,2982,Julian,
27284,4670,63,56201,Kernersville,
27288,1723,26,23585,Eden,
27291,122,0,1538,Leasburg,
27292,3450,33,41465,Lexington,
27295,3589,47,39191,Lexington,
27298,753,9,10440,Liberty,
27299,532,4,5254,Linwood,
27301,937,16,10019,Mc Leansville,
27302,2299,12,32302,Mebane,
27305,152,1,1585,Milton,
27306,633,16,5945,Mount Gilead,
27310,586,3,8562,Oak Ridge,
27311,249,1,3220,Pelham,
27312,894,25,22205,Pittsboro,
27313,471,19,7288,Pleasant Garden,
27314,59,1,1138,Prospect Hill,
27315,117,0,2140,Providence,
27316,677,14,7156,Ramseur,
27317,1685,21,17851,Randleman,
27320,2858,23,38894,Reidsville,
27325,717,5,7676,Robbins,
27326,267,2,3692,Ruffin,
27330,3643,48,39529,Sanford,
27332,2616,25,33549,Sanford,
27341,475,2,5820,Seagrove,
27343,120,0,1840,Semora,
27344,1785,30,19290,Siler City,
27349,445,5,5850,Snow Camp,
27350,566,6,7508,Sophia,
27355,211,2,3196,Staley,
27356,332,7,3513,Star,
27357,809,16,8325,Stokesdale,
27358,949,6,15960,Summerfield,
27360,4473,57,48331,Thomasville,
27370,1401,28,14622,Trinity,
27371,841,10,7778,Troy,
27376,762,14,9884,West End,
27377,795,5,9597,Whitsett,
27379,546,18,6057,Yanceyville,
27401,1653,18,20221,Greensboro,
27403,1239,17,21278,Greensboro,
27405,4098,42,52510,Greensboro,
27406,4685,94,60755,Greensboro,
27407,3908,53,49837,Greensboro,
27408,1135,5,17406,Greensboro,
27409,1279,14,17953,Greensboro,
27410,3619,35,56968,Greensboro,
27455,2175,54,29197,Greensboro,
27501,1646,16,21338,Angier,
27502,2197,7,43747,Apex,
27503,168,0,7222,Bahama,
27504,1719,18,16320,Benson,
27505,546,7,7308,Broadway,
27507,150,2,2053,Bullock,
27508,286,1,2340,Bunn,
27509,1605,37,6935,Butner,
27510,787,8,14543,Carrboro,
27511,1891,21,34041,Cary,
27513,2148,13,49003,Cary,
27514,1542,24,32847,Chapel Hill,
27516,2074,17,44117,Chapel Hill,
27517,1136,15,28831,Chapel Hill,
27518,1071,4,22765,Cary,
27519,2392,8,59960,Cary,
27520,4227,57,43958,Clayton,
27521,653,9,7149,Coats,
27522,1017,4,13652,Creedmoor,
27523,640,0,12782,Apex,
27524,1340,15,13532,Four Oaks,
27525,1359,2,15534,Franklinton,
27526,3555,40,54027,Fuquay Varina,
27527,2329,8,30234,Clayton,
27529,4408,61,53854,Garner,
27530,3008,73,40212,Goldsboro,
27531,11,0,666,Goldsboro,
27534,2578,68,31819,Goldsboro,
27536,1756,46,16459,Henderson,
27537,2376,36,25321,Henderson,
27539,1328,6,26567,Apex,
27540,2378,5,39075,Holly Springs,
27541,283,1,4044,Hurdle Mills,
27542,824,13,10043,Kenly,
27544,379,3,4291,Kittrell,
27545,2852,33,30327,Knightdale,
27546,1976,71,22436,Lillington,
27549,2069,33,25224,Louisburg,
27551,108,3,2205,Macon,
27553,470,0,2030,Manson,
27556,20,0,298,Middleburg,
27557,703,3,9214,Middlesex,
27559,126,0,2874,Moncure,
27560,1644,10,33691,Morrisville,
27562,222,0,2791,New Hill,
27563,362,5,5312,Norlina,
27565,2373,39,26057,Oxford,
27569,910,6,8984,Princeton,
27571,665,0,7385,Rolesville,
27572,388,3,7316,Rougemont,
27573,1079,51,11561,Roxboro,
27574,1045,9,15232,Roxboro,
27576,1870,22,20197,Selma,
27577,2829,40,25214,Smithfield,
27581,271,1,3956,Stem,
27583,558,6,7012,Timberlake,
27587,5943,45,74087,Wake Forest,
27589,646,6,8312,Warrenton,
27591,2183,22,23448,Wendell,
27592,1243,5,17368,Willow Spring,
27596,1537,5,18655,Youngsville,
27597,2422,19,25494,Zebulon,
27601,825,6,12139,Raleigh,
27603,4261,17,55479,Raleigh,
27604,3988,41,47645,Raleigh,
27605,575,18,5253,Raleigh,
27606,3038,8,47938,Raleigh,
27607,1935,9,30296,Raleigh,
27608,852,1,11603,Raleigh,
27609,2902,23,38631,Raleigh,
27610,7792,65,74203,Raleigh,
27612,2638,34,39208,Raleigh,
27613,2619,11,46521,Raleigh,
27614,2366,20,37689,Raleigh,
27615,2997,42,46038,Raleigh,
27616,5034,21,55260,Raleigh,
27617,1291,3,19511,Raleigh,
27701,1973,15,26489,Durham,
27703,4915,26,61351,Durham,
27704,3803,35,39369,Durham,
27705,3195,73,48078,Durham,
27707,3156,16,47036,Durham,
27708,148,0,4635,Durham,
27709,137,0,4,Durham,
27710,5,0,0,Durham,
27712,1287,28,22055,Durham,
27713,2993,25,53996,Durham,
27801,1742,19,21556,Rocky Mount,
27803,1840,23,22337,Rocky Mount,
27804,2953,81,29160,Rocky Mount,
27805,209,2,3769,Aulander,
27806,157,2,2441,Aurora,
27807,824,10,6940,Bailey,
27808,190,3,2481,Bath,
27809,472,8,5254,Battleboro,
27812,250,1,2951,Bethel,
27813,57,0,687,Black Creek,
